,Graph,Sep 22,Aug 22,Jul 22,Jun 22,May 22,Apr 22,Mar 22,Feb 22,Jan 22,Nov 21
Current Sched Principal,LCLC21N1,"297,277.42","298,168.45","299,235.34","327,113.18","309,784.75","329,671.34","328,435.57","334,991.30","337,004.78",-
Current Princ Prepayment,LCLC21N1,"304,359.83","366,350.32","403,335.80","377,560.09","348,117.39","498,290.70","372,000.44","180,093.28","237,152.63",-
Current Princ Liquidation,LCLC21N1,"481,148.17","312,078.46","282,785.20","216,529.70","159,815.64","8,913.21",0.00,0.00,"15,000.00",-
Current Balance,LCLC21N1,"17,430,471.42","18,513,256.84","19,489,854.07","20,475,210.41","21,396,413.38","22,214,131.16","23,051,006.41","23,751,442.42","24,281,152.00","24,870,309.41"
Current Princ Recovery,LCLC21N1,"22,675.29",748.04,0.00,60.43,"2,896.15",0.00,0.00,0.00,0.00,-
Current Princ Loss,LCLC21N1,"462,554.43","311,465.07","282,785.20","216,480.15","157,440.80","8,913.21",0.00,0.00,"15,000.00",-
Num Assets in Delinq 30-59 Days,LCLC21N1,65,71,64,69,42,39,34,26,0,-
Num Assets in Delinq 30+ Days,LCLC21N1,189,189,151,139,112,90,56,26,0,-
Num Assets in Delinq 60-89 Days,LCLC21N1,66,60,56,35,41,30,22,0,0,-
Num Assets in Delinq 60+ Days,LCLC21N1,124,118,87,70,70,51,22,0,0,-
Num Assets in Delinq 90+ Days,LCLC21N1,58,58,31,35,29,21,0,0,0,-
Num Assets in Delinq 120+ Days,LCLC21N1,1,0,1,0,0,0,0,0,0,-
Accum Liquidation Amt,LCLC21N1,"1,476,270.38","995,122.21","683,043.75","400,258.55","183,728.85","23,913.21","15,000.00","15,000.00","15,000.00",-
