,Graph,"Sep 15, 2022","Aug 15, 2022","Jul 15, 2022","Jun 15, 2022","May 15, 2022"
Current Balance,Tranche B,"30,270,000.00","30,270,000.00","30,270,000.00","30,270,000.00","30,270,000.00"
Factor,Tranche B,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche B,1.0600,1.0600,1.0600,1.0600,1.0600
Reported Coupon,Tranche B,1.0600,1.0600,1.0600,1.0600,1.0600
Natural Credit Support,Tranche B,18.90,14.73,17.59,14.84,15.59
Credit Support (%),Tranche B,18.90,14.73,17.59,14.84,15.59
Credit Support,Tranche B,"73,957,291.34","74,113,271.57","87,220,710.85","73,988,591.55","76,855,917.55"
Reported Principal Payment,Tranche B,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche B,"26,738.50","26,738.50","26,738.50","26,738.50","26,738.50"
Accum Writedown,Tranche B,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche B,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche B,A,A,A,A,A
Ratings Order,Tranche B,DBRS,DBRS,DBRS,DBRS,DBRS
Original Balance,Tranche C,"21,010,000.00","21,010,000.00","21,010,000.00","21,010,000.00","21,010,000.00"
Current Balance,Tranche C,"21,010,000.00","21,010,000.00","21,010,000.00","21,010,000.00","21,010,000.00"
Factor,Tranche C,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche C,1.6600,1.6600,1.6600,1.6600,1.6600
Reported Coupon,Tranche C,1.6600,1.6600,1.6600,1.6600,1.6600
Natural Credit Support,Tranche C,13.53,10.56,13.35,10.62,11.33
Credit Support (%),Tranche C,13.53,10.56,13.35,10.62,11.33
Credit Support,Tranche C,"52,947,291.34","53,103,271.57","66,210,710.85","52,978,591.55","55,845,917.55"
Reported Principal Payment,Tranche C,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche C,"29,063.83","29,063.83","29,063.83","29,063.83","29,063.83"
Accum Writedown,Tranche C,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche C,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche C,BBB,BBB,BBB,BBB,BBB
Ratings Order,Tranche C,DBRS,DBRS,DBRS,DBRS,DBRS
Original Balance,Tranche D,"22,510,000.00","22,510,000.00","22,510,000.00","22,510,000.00","22,510,000.00"
Current Balance,Tranche D,"22,510,000.00","22,510,000.00","22,510,000.00","22,510,000.00","22,510,000.00"
Factor,Tranche D,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche D,3.4900,3.4900,3.4900,3.4900,3.4900
Reported Coupon,Tranche D,3.4900,3.4900,3.4900,3.4900,3.4900
Natural Credit Support,Tranche D,7.78,6.08,8.81,6.11,6.76
Credit Support (%),Tranche D,7.78,6.08,8.81,6.11,6.76
Credit Support,Tranche D,"30,437,291.34","30,593,271.57","43,700,710.85","30,468,591.55","33,335,917.55"
Reported Principal Payment,Tranche D,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche D,"65,466.58","65,466.58","65,466.58","65,466.58","65,466.58"
Accum Writedown,Tranche D,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche D,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche D,BB,BB,BB,BB,BB
Ratings Order,Tranche D,DBRS,DBRS,DBRS,DBRS,DBRS
Original Balance,Tranche E,"19,010,000.00","19,010,000.00","19,010,000.00","19,010,000.00","19,010,000.00"
Current Balance,Tranche E,"19,010,000.00","19,010,000.00","19,010,000.00","19,010,000.00","19,010,000.00"
Factor,Tranche E,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche E,5.6500,5.6500,5.6500,5.6500,5.6500
Reported Coupon,Tranche E,5.6500,5.6500,5.6500,5.6500,5.6500
Natural Credit Support,Tranche E,2.92,2.30,4.98,2.30,2.91
Credit Support (%),Tranche E,2.92,2.30,4.98,2.30,2.91
Credit Support,Tranche E,"11,427,291.34","11,583,271.57","24,690,710.85","11,458,591.55","14,325,917.55"
Reported Principal Payment,Tranche E,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche E,"89,505.42","89,505.42","89,505.42","89,505.42","89,505.42"
Accum Writedown,Tranche E,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche E,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche E,B,B,B,B,B
Ratings Order,Tranche E,DBRS,DBRS,DBRS,DBRS,DBRS
Original Balance,Tranche CERT,"505,635,955.09","505,635,955.09","505,635,955.09","505,635,955.09","505,635,955.09"
Current Balance,Tranche CERT,"393,005,718.18","505,545,120.53","498,187,517.96","501,015,902.68","495,620,656.50"
Factor,Tranche CERT,0.7773,0.9998,0.9853,0.9909,0.9802
Coupon,Tranche CERT,0.0000,0.0000,0.0000,0.0000,0.0000
Reported Coupon,Tranche CERT,0.0000,0.0000,0.0000,0.0000,0.0000
Reported Interest Payment,Tranche CERT,"11,381,197.75","10,891,243.74",0.00,"6,000,000.00","8,000,000.00"
Accum Writedown,Tranche CERT,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche CERT,0.00,0.00,0.00,0.00,0.00
Ratings Order,Ratings Order,DBRS,DBRS,DBRS,DBRS,DBRS
Gross Coupon (Derived),Group NONDISCOUNT,26.1023,26.0821,26.1259,26.1518,26.1758
WAVG Amort Term,Group NONDISCOUNT,11.059197569,12.000000000,12.000000000,12.000000000,11.828372009
WAVG Rem Term,Group NONDISCOUNT,11.059197569,12.000000000,12.000000000,12.000000000,11.828372009
Delinq 30-59,Group NONDISCOUNT,2.14,1.74,1.60,1.42,1.21
Delinq 60-89,Group NONDISCOUNT,1.77,1.22,1.14,0.91,0.96
Delinq 30+,Group NONDISCOUNT,5.31,3.98,3.58,3.17,3.01
Delinq 60+,Group NONDISCOUNT,3.17,2.24,1.98,1.76,1.80
Delinq 90+,Group NONDISCOUNT,1.40,1.02,0.84,0.85,0.84
OC Target,Group NONDISCOUNT,NA,NA,NA,NA,NA
OC Deficiency,Group NONDISCOUNT,NA,NA,NA,NA,NA
OC Actual,Group NONDISCOUNT,NA,NA,NA,NA,NA
Gross Coupon (Derived),Group DISCOUNT,0.2741,0.2491,0.2676,0.2880,0.2816
WAVG Amort Term,Group DISCOUNT,10.055764218,12.000000000,12.000000000,12.000000000,11.758062121
WAVG Rem Term,Group DISCOUNT,10.055764218,12.000000000,12.000000000,12.000000000,11.758062121
Delinq 30-59,Group DISCOUNT,0.78,0.34,0.30,0.30,0.27
Delinq 60-89,Group DISCOUNT,0.35,0.21,0.19,0.17,0.23
Delinq 30+,Group DISCOUNT,1.38,0.69,0.63,0.68,0.66
Delinq 60+,Group DISCOUNT,0.60,0.35,0.34,0.39,0.39
Delinq 90+,Group DISCOUNT,0.25,0.14,0.14,0.22,0.16
OC Target,Group DISCOUNT,NA,NA,NA,NA,NA
OC Deficiency,Group DISCOUNT,NA,NA,NA,NA,NA
OC Actual,Group DISCOUNT,NA,NA,NA,NA,NA
Gross Coupon (Derived),Group INITIAL,21.3915,20.9332,21.2631,21.6265,21.5237
WAVG Amort Term,Group INITIAL,10.876181921,12.000000000,12.000000000,12.000000000,11.815740089
WAVG Rem Term,Group INITIAL,10.876181921,12.000000000,12.000000000,12.000000000,11.815740089
Delinq 30-59,Group INITIAL,1.89,1.46,1.35,1.22,1.04
Delinq 60-89,Group INITIAL,1.51,1.02,0.96,0.78,0.83
Delinq 30+,Group INITIAL,4.59,3.33,3.02,2.74,2.59
Delinq 60+,Group INITIAL,2.70,1.86,1.67,1.52,1.55
Delinq 90+,Group INITIAL,1.19,0.84,0.71,0.74,0.72
OC Target,Group INITIAL,NA,NA,NA,NA,NA
OC Deficiency,Group INITIAL,NA,NA,NA,NA,NA
OC Actual,Group INITIAL,NA,NA,NA,NA,NA
Gross Coupon (Derived),Group REINVEST,0.0000,0.0000,0.0000,0.0000,0.0000
OC Target,Group REINVEST,NA,NA,NA,NA,NA
OC Deficiency,Group REINVEST,NA,NA,NA,NA,NA
OC Actual,Group REINVEST,NA,NA,NA,NA,NA
Pass/Fail,Trigger OC Step Trigger,PASS,PASS,PASS,PASS,PASS
Pass/Fail,SubTrigger Amortization Events,NA,PASS,PASS,PASS,PASS
Actual Value (%),SubTrigger Reinvestment Delinquency Trigger,0.956,0.792,0.752,0.728,0.728
Limit Value (%),SubTrigger Reinvestment Delinquency Trigger,7.000,7.000,7.000,7.000,7.000
Pass/Fail,SubTrigger Reinvestment Delinquency Trigger,PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger Reinvestment Reserve Fund Balance Trigger,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00"
Limit Value,SubTrigger Reinvestment Reserve Fund Balance Trigger,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00"
Pass/Fail,SubTrigger Reinvestment Reserve Fund Balance Trigger,PASS,PASS,PASS,PASS,PASS
Actual Value (%),SubTrigger Three-Month Default Ratio,0.00,1.95,1.87,1.89,1.81
Limit Value (%),SubTrigger Three-Month Default Ratio,4.00,4.00,4.00,4.00,4.00
Pass/Fail,SubTrigger Three-Month Default Ratio,PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger Reinvestment - Overcollaterlization Event,0.00,"24,454,931.50","11,264,044.58","14,153,407.88","29,701,999.65"
Limit Value,SubTrigger Reinvestment - Overcollaterlization Event,0.00,0.00,0.00,0.00,0.00
Pass/Fail,SubTrigger Reinvestment - Overcollaterlization Event,NA,PASS,PASS,PASS,PASS
Actual Value (%),SubTrigger Reinvestment Delinquency Trigger,0.956,0.792,0.752,0.728,0.728
Limit Value (%),SubTrigger Reinvestment Delinquency Trigger,7.000,7.000,7.000,7.000,7.000
Pass/Fail,SubTrigger Reinvestment Delinquency Trigger,PASS,PASS,PASS,PASS,PASS
Actual Value (%),SubTrigger Three-Month Default Ratio,0.00,1.95,1.87,1.89,1.81
Limit Value (%),SubTrigger Three-Month Default Ratio,4.00,4.00,4.00,4.00,4.00
Pass/Fail,SubTrigger Three-Month Default Ratio,PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger Reinvestment - Overcollaterlization Event,0.00,"24,454,931.50","11,264,044.58","14,153,407.88","29,701,999.65"
Limit Value,SubTrigger Reinvestment - Overcollaterlization Event,0.00,0.00,0.00,0.00,0.00
Pass/Fail,SubTrigger Reinvestment - Overcollaterlization Event,NA,PASS,PASS,PASS,PASS
Pass/Fail,Trigger Event of Default Trigger,PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger Event of Default (Most Senior Class),0.00,0.00,0.00,0.00,0.00
Limit Value,SubTrigger Event of Default (Most Senior Class),0.00,0.00,0.00,0.00,0.00
Pass/Fail,SubTrigger Event of Default (Most Senior Class),PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger EOD Note Principal Shortfall,0.00,0.00,0.00,0.00,0.00
Limit Value,SubTrigger EOD Note Principal Shortfall,0.00,0.00,0.00,0.00,0.00
Pass/Fail,SubTrigger EOD Note Principal Shortfall,PASS,PASS,PASS,PASS,PASS
Credit Balance,Credit Reserve Account,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00"
Credit Balance Target,Credit Reserve Account,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00"
Credit Balance,Credit Collection Account,"-1,250,000.00","-1,250,000.00","27,535,903.09","11,559,173.68","19,980,302.79"
