,Graph,"Aug 08, 2022","Jul 08, 2022","Jun 08, 2022","May 08, 2022","Apr 08, 2022","Mar 08, 2022","Feb 08, 2022","Jan 08, 2022","Dec 08, 2021","Nov 08, 2021","Oct 08, 2021","Sep 08, 2021","Aug 08, 2021","Jul 08, 2021","Jun 08, 2021","May 08, 2021","Apr 08, 2021","Mar 08, 2021","Feb 08, 2021","Jan 08, 2021","Dec 08, 2020","Nov 08, 2020","Oct 08, 2020","Sep 08, 2020","Aug 08, 2020","Jul 08, 2020","Jun 08, 2020","May 08, 2020","Apr 08, 2020","Mar 08, 2020","Feb 08, 2020","Jan 08, 2020","Dec 08, 2019","Nov 08, 2019","Oct 08, 2019"
1mo CPR,OPF1319A,-22.07,47.97,30.65,36.79,36.57,41.33,46.77,49.23,48.12,52.12,11.25,28.40,37.16,37.95,43.05,35.78,46.61,36.29,29.94,37.24,39.91,33.59,36.63,41.64,38.37,36.20,35.23,27.16,35.40,35.60,27.83,31.61,27.32,21.37,19.24
3mo CPR,OPF1319A,23.91,38.90,34.73,38.27,41.71,45.88,48.05,49.85,39.59,32.74,26.36,34.64,39.44,39.00,41.98,39.78,38.00,34.57,35.83,36.97,36.76,37.37,38.92,38.78,36.62,32.98,32.70,32.83,33.04,31.75,28.95,26.89,22.72,-,-
6mo CPR,OPF1319A,31.47,40.32,40.56,43.37,45.93,42.82,40.89,39.23,37.17,36.18,32.98,38.42,39.61,38.50,38.39,37.84,37.49,35.67,36.61,37.95,37.78,37.00,36.02,35.81,34.75,33.01,32.23,30.92,30.03,27.38,-,-,-,-,-
12mo CPR,OPF1319A,36.35,39.78,38.89,39.88,39.80,40.66,40.25,38.87,37.78,37.01,35.27,37.06,38.13,38.23,38.08,37.42,36.76,35.74,35.69,35.53,35.06,34.03,33.09,31.73,-,-,-,-,-,-,-,-,-,-,-
1mo CRR,OPF1319A,-37.33,41.44,22.08,29.66,29.04,35.61,40.51,43.82,44.35,47.99,5.17,23.37,33.64,33.85,39.50,31.00,41.19,31.39,23.16,30.47,34.50,26.51,30.49,34.90,30.23,27.58,27.27,19.26,28.02,28.83,20.65,25.21,23.23,20.66,19.02
3mo CRR,OPF1319A,14.42,31.53,27.01,31.50,35.22,40.08,42.92,45.42,35.02,27.71,21.58,30.45,35.72,34.88,37.39,34.71,32.32,28.43,29.53,30.57,30.57,30.72,31.91,30.97,28.37,24.80,24.95,25.49,25.92,24.97,23.05,23.06,20.99,-,-
6mo CRR,OPF1319A,23.43,33.40,33.86,37.47,40.53,37.60,35.77,34.59,32.78,31.83,28.54,34.01,35.22,33.61,33.06,32.17,31.45,29.51,30.13,31.24,30.77,29.55,28.44,28.03,26.95,25.36,24.96,24.28,24.51,23.01,-,-,-,-,-
12mo CRR,OPF1319A,29.86,34.00,33.32,34.71,34.82,35.83,35.49,34.10,32.92,32.00,30.01,31.80,32.72,32.44,31.92,30.87,29.96,28.77,28.55,28.36,27.93,26.97,26.50,25.57,-,-,-,-,-,-,-,-,-,-,-
1mo CDR,OPF1319A,11.40,10.70,10.78,9.86,10.33,8.57,10.10,9.20,6.47,7.55,6.38,6.42,5.13,5.99,5.63,6.72,8.83,6.93,8.63,9.46,7.97,9.40,8.58,10.00,11.34,11.61,10.67,9.62,9.99,9.26,8.89,8.37,5.22,0.87,0.26
3mo CDR,OPF1319A,10.96,10.44,10.32,9.59,9.67,9.29,8.60,7.74,6.80,6.79,5.98,5.85,5.58,6.11,7.07,7.50,8.13,8.35,8.69,8.95,8.65,9.33,9.98,10.99,11.21,10.64,10.10,9.62,9.38,8.84,7.51,4.87,2.14,0.46,-
6mo CDR,OPF1319A,10.28,10.06,9.81,9.10,8.71,8.05,7.70,6.87,6.33,6.19,6.05,6.46,6.55,7.13,7.71,8.10,8.54,8.50,9.01,9.47,9.83,10.27,10.31,10.54,10.42,10.01,9.47,8.57,7.15,5.55,4.05,-,-,-,-
12mo CDR,OPF1319A,9.00,8.48,8.08,7.65,7.39,7.26,7.12,7.00,7.02,7.15,7.30,7.49,7.79,8.31,8.78,9.19,9.43,9.53,9.72,9.74,9.65,9.43,8.75,8.08,7.29,-,-,-,-,-,-,-,-,-,-
Life CDR,OPF1319A,7.82,7.72,7.64,7.54,7.47,7.38,7.34,7.25,7.18,7.21,7.19,7.22,7.26,7.34,7.40,7.48,7.52,7.45,7.48,7.42,7.29,7.25,7.11,7.00,6.76,6.37,5.88,5.39,4.91,4.25,3.51,2.58,1.39,0.40,0.25
Delinq 30-59,OPF1319A,1.96,1.70,1.56,1.33,1.60,1.79,1.79,1.58,1.42,1.42,1.19,1.16,1.06,0.95,1.04,0.82,1.04,1.06,1.30,1.43,1.29,1.50,1.54,1.57,1.58,1.54,1.55,1.52,1.58,1.57,1.71,1.69,1.36,1.31,1.09
Delinq 60-89,OPF1319A,1.28,1.13,1.09,1.17,1.22,1.16,1.17,1.09,1.04,0.95,0.80,0.75,0.72,0.72,0.58,0.71,0.63,0.88,0.93,0.99,1.00,1.03,0.89,0.93,0.85,0.89,1.08,1.14,1.13,1.14,1.14,1.12,0.95,0.82,0.55
Delinq 30+,OPF1319A,4.28,3.88,3.74,3.58,3.80,3.96,3.88,3.64,3.28,3.00,2.64,2.52,2.38,2.15,2.18,2.03,2.32,2.73,2.97,3.21,3.09,3.17,3.13,3.13,3.17,3.26,3.52,3.58,3.61,3.63,3.83,3.61,3.02,2.59,1.68
Delinq 60+,OPF1319A,2.31,2.19,2.18,2.25,2.20,2.17,2.09,2.06,1.86,1.58,1.45,1.36,1.33,1.19,1.14,1.22,1.27,1.67,1.67,1.78,1.81,1.67,1.60,1.55,1.59,1.72,1.97,2.06,2.03,2.06,2.11,1.92,1.66,1.28,0.59
Delinq 90+,OPF1319A,1.04,1.06,1.09,1.08,0.98,1.01,0.92,0.96,0.82,0.63,0.65,0.60,0.61,0.47,0.56,0.51,0.64,0.79,0.74,0.79,0.81,0.64,0.71,0.63,0.74,0.83,0.89,0.92,0.90,0.92,0.97,0.80,0.71,0.46,0.04
Accum Net Loss%,OPF1319A,22.90,21.93,21.29,20.39,19.58,19.09,18.40,17.56,16.82,16.32,15.72,15.23,14.74,14.36,13.91,13.51,13.01,12.34,11.79,11.08,10.30,9.65,8.87,8.17,7.34,6.39,5.40,4.50,3.68,2.84,2.05,1.28,0.56,0.11,0.04
Annualized Net Loss Rate,OPF1319A,11.63,7.73,10.81,9.70,5.83,8.33,10.00,8.97,5.99,7.16,5.94,5.84,4.53,5.46,4.77,5.97,8.09,6.60,8.49,9.39,7.79,9.34,8.41,9.96,11.42,11.81,10.83,9.80,10.18,9.47,9.17,8.68,5.35,0.87,0.26
1mo Severity,OPF1319A,96.59,68.65,95.18,93.90,53.76,93.32,94.38,93.37,89.92,91.61,90.26,88.14,86.15,88.67,82.61,86.02,87.88,92.17,94.44,94.87,94.05,94.99,94.05,94.89,95.35,96.19,96.35,97.37,97.13,97.88,98.81,99.67,99.88,99.88,99.27
3mo Severity,OPF1319A,87.05,85.71,80.96,79.26,79.56,93.72,92.91,91.84,90.65,90.09,88.33,87.74,85.86,85.84,85.90,88.65,91.42,93.98,94.48,94.67,94.39,94.67,94.82,95.51,95.96,96.60,96.93,97.45,97.91,98.76,99.38,99.76,99.85,99.78,-
6mo Severity,OPF1319A,83.43,82.76,86.99,85.70,84.99,92.43,91.68,90.32,89.31,88.19,87.07,86.73,87.46,89.04,90.29,91.79,93.13,94.19,94.58,94.75,95.02,95.37,95.74,96.19,96.64,97.21,97.78,98.29,98.53,98.97,99.40,-,-,-,-
12mo Severity,OPF1319A,86.94,85.80,87.89,86.70,85.84,89.91,89.75,89.67,89.85,90.24,90.63,90.99,91.60,92.31,92.95,93.80,94.56,95.30,95.69,96.02,96.37,96.69,96.87,97.13,97.40,-,-,-,-,-,-,-,-,-,-
Accum Net Loss,OPF1319A,"67,354,884.44","64,504,623.85","62,610,268.25","59,961,652.64","57,583,922.35","56,154,001.89","54,111,488.33","51,660,143.07","49,461,235.54","47,992,006.38","46,236,004.74","44,780,941.51","43,350,579.40","42,240,488.90","40,902,428.76","39,732,461.44","38,269,254.03","36,285,947.26","34,668,411.45","32,586,392.83","30,284,502.93","28,375,371.36","26,086,902.28","24,026,291.21","21,585,710.03","18,786,423.93","15,892,614.27","13,239,212.22","10,836,129.83","8,340,758.95","6,019,692.14","3,772,902.57","1,646,174.76","335,402.14","122,077.38"
Collected Principal,OPF1319A,"17,564,389.57","18,283,983.57","19,293,558.64","20,058,644.74","21,400,785.61","18,703,943.62","19,862,532.66","20,255,891.71","20,077,029.36","21,247,410.90","19,847,299.69","20,111,014.05","20,884,987.95","19,655,100.83","20,040,261.43","18,973,072.90","20,707,625.74","16,325,725.71","17,660,010.23","17,551,542.66","17,837,695.95","18,695,102.89","17,253,786.36","17,810,848.80","16,625,159.51","15,075,136.62","15,436,715.80","12,680,958.93","15,423,632.18","15,542,581.14","14,374,199.43","14,748,613.76","14,096,822.77","13,392,147.97","11,844,584.39"
Current Princ Liquidation,OPF1319A,"2,951,031.17","2,759,453.59","2,782,658.63","2,532,084.29","2,659,865.24","2,188,754.62","2,597,289.81","2,354,953.87","1,633,954.05","1,916,878.99","1,612,048.89","1,622,809.23","1,288,577.51","1,509,004.95","1,416,199.67","1,700,989.82","2,256,803.05","1,754,910.58","2,204,535.14","2,426,288.00","2,029,944.23","2,409,218.55","2,190,910.12","2,572,124.05","2,935,872.57","3,008,439.16","2,753,913.60","2,468,071.73","2,569,116.07","2,371,406.81","2,273,755.50","2,133,683.57","1,312,355.62","213,586.76","64,543.85"
Current Princ Recovery,OPF1319A,"100,770.58","865,097.99","134,043.02","154,354.00","1,229,944.78","146,241.06","145,944.55","156,046.34","164,724.89","160,877.35","156,985.66","192,447.12","178,487.01","170,944.81","246,232.35","237,782.41","273,496.28","137,374.77","122,516.52","124,398.10","120,812.66","120,749.47","130,299.05","131,542.87","136,586.47","114,629.50","100,511.55","64,989.34","73,745.19","50,340.00","26,965.93","6,955.76","1,583.00",262.00,468.00
Current Princ Loss,OPF1319A,"2,850,260.59","1,894,355.60","2,648,615.61","2,377,730.29","1,429,920.46","2,042,513.56","2,451,345.26","2,198,907.53","1,469,229.16","1,756,001.64","1,455,063.23","1,430,362.11","1,110,090.50","1,338,060.14","1,169,967.32","1,463,207.41","1,983,306.77","1,617,535.81","2,082,018.62","2,301,889.90","1,909,131.57","2,288,469.08","2,060,611.07","2,440,581.18","2,799,286.10","2,893,809.66","2,653,402.05","2,403,082.39","2,495,370.88","2,321,066.81","2,246,789.57","2,126,727.81","1,310,772.62","213,324.76","64,075.85"
Current Repurchased Principal,OPF1319A,"20,519,558.01","20,993,308.69","22,038,845.04","22,592,285.48","24,051,425.41","20,893,286.82","22,458,948.36","22,609,165.94","21,711,545.33","23,164,380.00","21,455,198.19","21,739,186.20","22,170,045.15","21,167,775.06","21,456,371.90","20,666,960.88","22,969,903.63","18,080,245.91","19,865,006.75","19,977,183.77","19,870,238.91","21,103,449.50","19,445,128.90","20,379,136.47","19,559,934.97","18,086,092.69","18,189,551.55","15,148,929.63","17,996,661.67","17,915,421.08","16,642,797.55","16,884,490.59","15,401,062.38","13,363,052.14","39,312,852.61"
OC Target,OPF1319A,"14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00","14,705,895.00"
OC Deficiency,OPF1319A,"-6,871.97","-2,734.70","-4,518.21","-1,713.10",-156.65,"-4,069.66","-1,585.22","-2,459.33","-2,538.97","-1,977.05","-1,886.94","-6,037.33",-674.41,"-4,194.71",-525.43,-614.63,"-2,433.05","-2,241.63","-2,632.01","-2,170.63","-2,817.52",-218.78,"-1,090.72",-658.31,"-4,494.68","-5,397.96","-3,206.48","-4,284.33","-1,636.24","-1,731.97",-298.84,"-1,881.22","-1,068.51","-1,668.60",0.00
OC Actual,OPF1319A,"14,712,766.97","14,708,629.70","14,710,413.21","14,707,608.10","14,706,051.65","14,709,964.66","14,707,480.22","14,708,354.33","14,708,433.97","14,707,872.05","14,707,781.94","14,711,932.33","14,706,569.41","14,710,089.71","14,706,420.43","14,706,509.63","14,708,328.05","14,708,136.63","14,708,527.01","14,708,065.63","14,708,712.52","14,706,113.78","14,706,985.72","14,706,553.31","14,710,389.68","14,711,292.96","14,709,101.48","14,710,179.33","14,707,531.24","14,707,626.97","14,706,193.84","14,707,776.22","14,706,963.51","14,707,563.60","14,705,895.00"
Original Balance,Tranche A,"205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00"
Current Balance,Tranche A,"205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00","205,882,000.00"
Factor,Tranche A,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche A,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800
Reported Coupon,Tranche A,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800,3.0800
Natural Credit Support,Tranche A,31.56,31.76,31.56,31.76,31.94,31.71,31.79,31.77,32.02,32.03,32.00,32.10,32.29,32.08,32.27,32.08,31.86,31.89,32.02,31.74,31.95,31.93,31.88,31.95,31.66,31.66,31.77,31.41,31.66,31.88,31.90,31.94,32.31,32.59,32.55
Credit Support (%),Tranche A,31.56,31.76,31.56,31.76,31.94,31.71,31.79,31.77,32.02,32.03,32.00,32.10,32.29,32.08,32.27,32.08,31.86,31.89,32.02,31.74,31.95,31.93,31.88,31.95,31.66,31.66,31.77,31.41,31.66,31.88,31.90,31.94,32.31,32.59,32.55
Credit Support,Tranche A,"92,837,969.94","93,419,073.14","92,816,115.91","93,403,979.50","93,950,459.12","93,269,398.11","93,485,997.12","93,428,132.30","94,171,197.07","94,219,820.24","94,120,292.86","94,420,754.39","94,965,700.26","94,369,064.00","94,903,622.24","94,358,944.50","93,713,264.56","93,809,206.52","94,173,975.74","93,354,910.11","93,966,907.02","93,911,975.61","93,776,770.75","93,968,606.62","93,129,344.86","93,114,869.21","93,427,860.62","92,377,105.76","93,123,425.12","93,762,552.87","93,835,201.43","93,930,826.40","95,042,109.14","95,850,728.62","95,728,283.21"
Reported Principal Payment,Tranche A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche A,"528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47","528,430.47"
Accum Writedown,Tranche A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche A,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+
Ratings Order,Tranche A,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA
Original Balance,Tranche B,"44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00"
Current Balance,Tranche B,"44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00","44,118,000.00"
Factor,Tranche B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche B,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700
Reported Coupon,Tranche B,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700,3.8700
Natural Credit Support,Tranche B,16.56,16.76,16.56,16.76,16.94,16.71,16.79,16.77,17.02,17.03,17.00,17.10,17.29,17.09,17.27,17.08,16.86,16.89,17.02,16.74,16.95,16.93,16.88,16.95,16.66,16.66,16.77,16.41,16.66,16.88,16.90,16.94,17.31,17.59,17.55
Credit Support (%),Tranche B,16.56,16.76,16.56,16.76,16.94,16.71,16.79,16.77,17.02,17.03,17.00,17.10,17.29,17.09,17.27,17.08,16.86,16.89,17.02,16.74,16.95,16.93,16.88,16.95,16.66,16.66,16.77,16.41,16.66,16.88,16.90,16.94,17.31,17.59,17.55
Credit Support,Tranche B,"48,719,969.94","49,301,073.14","48,698,115.91","49,285,979.50","49,832,459.12","49,151,398.11","49,367,997.12","49,310,132.30","50,053,197.07","50,101,820.24","50,002,292.86","50,302,754.39","50,847,700.26","50,251,064.00","50,785,622.24","50,240,944.50","49,595,264.56","49,691,206.52","50,055,975.74","49,236,910.11","49,848,907.02","49,793,975.61","49,658,770.75","49,850,606.62","49,011,344.86","48,996,869.21","49,309,860.62","48,259,105.76","49,005,425.12","49,644,552.87","49,717,201.43","49,812,826.40","50,924,109.14","51,732,728.62","51,610,283.21"
Reported Principal Payment,Tranche B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche B,"142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55","142,280.55"
Accum Writedown,Tranche B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
